901;764500;764999;Челябинская обл.
901;777000;777999;Москва и Московская область
901;778000;779999;Москва и Московская область
901;800000;899999;Оренбургская обл.
901;900000;919999;Москва и Московская область
901;920000;939999;Воронежская обл.
901;940000;949999;Рязанская обл.
901;950000;999999;Оренбургская обл.
901;1000000;1059999;Краснодарский край
901;1060000;1069999;Ростовская обл.
901;1070000;1079999;Краснодарский край
901;1080000;1089999;Омская обл.
901;1090000;1099999;Оренбургская обл.
901;1100000;1109999;Тверская обл.
901;1110000;1119999;Красноярский край
901;1120000;1159999;Оренбургская обл.
901;1160000;1169999;Москва и Московская область
901;1170000;1239999;Тверская обл.
901;1240000;1249999;Кемеровская обл.
901;1250000;1269999;Тверская обл.
901;1270000;1279999;Калужская обл.
901;1280000;1289999;Тверская обл.
901;1290000;1299999;Москва и Московская область
901;1300000;1314999;Волгоградская обл.
901;1315000;1315099;Республика Марий Эл
901;1315100;1315199;Чувашская Республика
901;1315200;1315299;Брянская обл.
901;1315300;1315399;Республика Мордовия
901;1315400;1315499;Кемеровская обл.
901;1315500;1315599;Воронежская обл.
901;1315600;1315699;Томская обл.
901;1315700;1315799;Чувашская Республика
901;1315800;1315899;Удмуртская Республика
901;1315900;1315999;Астраханская обл.
901;1316000;1316099;Ростовская обл.
901;1316100;1316199;Омская обл.
901;1316200;1316299;Республика Мордовия
901;1316300;1316399;Ростовская обл.
901;1316400;1316999;Москва и Московская область
901;1317000;1318999;Амурская обл.
901;1319000;1319999;Новосибирская обл.
901;1320000;1329999;г. Санкт-Петербург * Ленинградская область
901;1330000;1339999;Москва и Московская область
901;1340000;1349999;Приморский край
901;1350000;1379999;Республика Тыва
901;1380000;1389999;Приморский край
901;1390000;1399999;Ростовская обл.
901;1400000;1419999;Владимирская обл.
901;1420000;1429999;Воронежская обл.
901;1430000;1439999;Республика Татарстан
901;1440000;1449999;Астраханская обл.
901;1450000;1459999;Калужская обл.
901;1460000;1464999;Челябинская обл.
901;1465000;1469999;Воронежская обл.
901;1470000;1474999;Калужская обл.
901;1475000;1479999;г. Москва * Московская область
901;1480000;1484999;Самарская обл.
901;1485000;1489999;Ростовская обл.
901;1490000;1509999;Свердловская обл.
901;1510000;1519999;Москва и Московская область
901;1520000;1529999;Республика Башкортостан
901;1530000;1534999;Республика Татарстан
901;1535000;1539999;Новосибирская обл.
901;1540000;1545999;Республика Коми
901;1546000;1549999;Республика Марий Эл
901;1550000;1559999;Свердловская обл.
901;1560000;1569999;Тюменская обл.
901;1570000;1579999;Удмуртская Республика
901;1580000;1589999;Челябинская обл.
901;1590000;1594999;Нижегородская обл.
901;1595000;1599999;Краснодарский край
901;1600000;1603999;Республика Мордовия
901;1604000;1609999;Калининградская обл.
901;1610000;1619999;Владимирская обл.
901;1620000;1629999;Республика Татарстан
901;1630000;1639999;Удмуртская Республика
901;1640000;1641999;Республика Хакасия
901;1642000;1643999;Республика Тыва
901;1644000;1651999;Чувашская Республика
901;1652000;1659999;Алтайский край
901;1660000;1669999;Краснодарский край
901;1670000;1673999;Республика Алтай
901;1674000;1687999;Красноярский край
901;1688000;1693999;Хабаровский край
901;1694000;1699999;Новгородская обл.
901;1700000;1799999;Ярославская обл.
901;1800000;1899999;г. Москва и Московская область
